study_id,study,description,sample_file,category_label,category,fold_change,original_p_value,adjusted_p_value
MTBLS10418,"Liquid Chromatography-Mass Spectrometry Quantification of Phytochemicals in Withania somnifera Using Data-Dependent Acquisition, Multiple-Reaction-Monitoring, and Parallel-Reaction-Monitoring with an Inclusion List","<p>Characterization of botanical extracts by mass spectrometry-based metabolomics analysis helps in determining the phytochemical composition that underlies their bioactivity and potential health benefits, while also supporting reproducibility of effects in clinical trials. The quantification of seven withanolides in Withania somnifera using three mass-spectrometry methods was evaluated using Deming regression. Two high-resolution time-of-flight mass spectrometry methods were used, one operating in data-dependent acquisition mode and the other in parallel-reaction-monitoring mode with an inclusion list. The two high-resolution time-of-flight mass spectrometry methods were compared to a multiple-reaction-monitoring method. We evaluated in-source fragmentation of steroidal glycosides and optimized the methods accordingly. A novel software approach to integrating parallel-reaction-monitoring data acquired with an inclusion list was developed. Combining and comparing quantitative results allowed for quantitative specificity, good precision,  and adjustment of instrument source conditions for optimal quantification by multiple-reaction-monitoring mass spectrometry, an analytical method that is widely accessible in analytical and phytochemical laboratories.</p><p><br></p><p><strong>Linked R Script</strong></p><p>An R script for PRM data analysis collected with an inclusion list is available in <a href='https://github.com/marneylc/prm' rel='noopener noreferrer' target='_blank'>Github</a>.</p>",m_MTBLS10418__LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf,icosanoid,CHEBI:23899,322.7459392436454,4.775518173760901e-12,6.367357565014534e-12
MTBLS10418,"Liquid Chromatography-Mass Spectrometry Quantification of Phytochemicals in Withania somnifera Using Data-Dependent Acquisition, Multiple-Reaction-Monitoring, and Parallel-Reaction-Monitoring with an Inclusion List","<p>Characterization of botanical extracts by mass spectrometry-based metabolomics analysis helps in determining the phytochemical composition that underlies their bioactivity and potential health benefits, while also supporting reproducibility of effects in clinical trials. The quantification of seven withanolides in Withania somnifera using three mass-spectrometry methods was evaluated using Deming regression. Two high-resolution time-of-flight mass spectrometry methods were used, one operating in data-dependent acquisition mode and the other in parallel-reaction-monitoring mode with an inclusion list. The two high-resolution time-of-flight mass spectrometry methods were compared to a multiple-reaction-monitoring method. We evaluated in-source fragmentation of steroidal glycosides and optimized the methods accordingly. A novel software approach to integrating parallel-reaction-monitoring data acquired with an inclusion list was developed. Combining and comparing quantitative results allowed for quantitative specificity, good precision,  and adjustment of instrument source conditions for optimal quantification by multiple-reaction-monitoring mass spectrometry, an analytical method that is widely accessible in analytical and phytochemical laboratories.</p><p><br></p><p><strong>Linked R Script</strong></p><p>An R script for PRM data analysis collected with an inclusion list is available in <a href='https://github.com/marneylc/prm' rel='noopener noreferrer' target='_blank'>Github</a>.</p>",m_MTBLS10418__LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf,diol,CHEBI:23824,231.88828507795102,2.8247571447953055e-09,2.8247571447953055e-09
MTBLS107,A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Zeaxanthin metabolism),"Carotenoids are important secondary metabolites, which have been recognized as an essential component of the human diet because of their valuable beneficial health effects. With this rationale, there is a continuous aim to define the distribution of these compounds in plants, to better understand their metabolism and to increase their concentration levels in fruits and vegetables. This study aimed at deepening the knowledge on the regulatory role of phytohormones in carotenoid metabolism. More specifically, it was envisaged to reveal the phytohormones involved in the metabolism of alpha-carotene, beta-carotene, lycopene, lutein and zeaxanthin. To this purpose, the phytohormone profiles of 50 tomato fruits were determined by high-resolution Orbitrap mass spectrometry and evaluated towards the associated carotenoid levels. Data mining was performed by differential expression and orthogonal partial least squares analyses. This metabolomics approach revealed 5 phytohormonal metabolites, which significantly influenced (Variable Importance in Projection scores =0.80) carotenoid metabolism. These metabolites were identified as cis-12-oxo-phytodienoic acid, cucurbic acid, 2-oxindole-3-acetic acid, 1-acetylindole-3-carboxaldehyde, and cis-zeatin-O-glucoside. The involvement of the individual phytohormones towards carotenoid metabolism was investigated by regression analysis (P values =0.05, R2 varying between 0.280 and 0.760) and statistical correlation (P values =0.01, correlation varying between 0.403 and 0.846). It was concluded that these phytohormones all have significant contributing value in the regulation of carotenoid metabolism, thereby exhibiting down- and up-regulating influences. As a result, this knowledge encloses the potential for improving tomato fruit nutritional quality by targeted control of agronomic conditions, exogenous use of plant bioregulators, or genetic engineering.",m_MTBLS107_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf,long-chain fatty acid,CHEBI:15904,2283.2859649122806,3.187247053349025e-07,9.561741160047074e-07
MTBLS107,A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Zeaxanthin metabolism),"Carotenoids are important secondary metabolites, which have been recognized as an essential component of the human diet because of their valuable beneficial health effects. With this rationale, there is a continuous aim to define the distribution of these compounds in plants, to better understand their metabolism and to increase their concentration levels in fruits and vegetables. This study aimed at deepening the knowledge on the regulatory role of phytohormones in carotenoid metabolism. More specifically, it was envisaged to reveal the phytohormones involved in the metabolism of alpha-carotene, beta-carotene, lycopene, lutein and zeaxanthin. To this purpose, the phytohormone profiles of 50 tomato fruits were determined by high-resolution Orbitrap mass spectrometry and evaluated towards the associated carotenoid levels. Data mining was performed by differential expression and orthogonal partial least squares analyses. This metabolomics approach revealed 5 phytohormonal metabolites, which significantly influenced (Variable Importance in Projection scores =0.80) carotenoid metabolism. These metabolites were identified as cis-12-oxo-phytodienoic acid, cucurbic acid, 2-oxindole-3-acetic acid, 1-acetylindole-3-carboxaldehyde, and cis-zeatin-O-glucoside. The involvement of the individual phytohormones towards carotenoid metabolism was investigated by regression analysis (P values =0.05, R2 varying between 0.280 and 0.760) and statistical correlation (P values =0.01, correlation varying between 0.403 and 0.846). It was concluded that these phytohormones all have significant contributing value in the regulation of carotenoid metabolism, thereby exhibiting down- and up-regulating influences. As a result, this knowledge encloses the potential for improving tomato fruit nutritional quality by targeted control of agronomic conditions, exogenous use of plant bioregulators, or genetic engineering.",m_MTBLS107_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf,icosanoid,CHEBI:23899,537.909898739409,5.747032389329412e-06,8.620548583994117e-06
MTBLS107,A metabolomics approach to unravel the regulating role of phytohormones towards carotenoid metabolism in tomato fruit. (Zeaxanthin metabolism),"Carotenoids are important secondary metabolites, which have been recognized as an essential component of the human diet because of their valuable beneficial health effects. With this rationale, there is a continuous aim to define the distribution of these compounds in plants, to better understand their metabolism and to increase their concentration levels in fruits and vegetables. This study aimed at deepening the knowledge on the regulatory role of phytohormones in carotenoid metabolism. More specifically, it was envisaged to reveal the phytohormones involved in the metabolism of alpha-carotene, beta-carotene, lycopene, lutein and zeaxanthin. To this purpose, the phytohormone profiles of 50 tomato fruits were determined by high-resolution Orbitrap mass spectrometry and evaluated towards the associated carotenoid levels. Data mining was performed by differential expression and orthogonal partial least squares analyses. This metabolomics approach revealed 5 phytohormonal metabolites, which significantly influenced (Variable Importance in Projection scores =0.80) carotenoid metabolism. These metabolites were identified as cis-12-oxo-phytodienoic acid, cucurbic acid, 2-oxindole-3-acetic acid, 1-acetylindole-3-carboxaldehyde, and cis-zeatin-O-glucoside. The involvement of the individual phytohormones towards carotenoid metabolism was investigated by regression analysis (P values =0.05, R2 varying between 0.280 and 0.760) and statistical correlation (P values =0.01, correlation varying between 0.403 and 0.846). It was concluded that these phytohormones all have significant contributing value in the regulation of carotenoid metabolism, thereby exhibiting down- and up-regulating influences. As a result, this knowledge encloses the potential for improving tomato fruit nutritional quality by targeted control of agronomic conditions, exogenous use of plant bioregulators, or genetic engineering.",m_MTBLS107_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf,diterpenoid,CHEBI:23849,369.0551538352474,1.220214752010786e-05,1.220214752010786e-05
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,fatty acid,CHEBI:35366,545.0054438860972,9.565825154939307e-16,7.652660123951445e-15
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,icosanoid,CHEBI:23899,268.9549493697045,1.9247221833525742e-07,7.698888733410297e-07
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,straight-chain saturated fatty acid,CHEBI:39418,2259.5017361111113,3.6690255089409433e-07,9.784068023842516e-07
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,long-chain fatty acid,CHEBI:15904,761.0953216374269,3.247217550764501e-06,6.494435101529002e-06
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,nucleoside,CHEBI:33838,666.3968253968253,4.236138095481921e-06,6.777820952771073e-06
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,monocarboxylic acid anion,CHEBI:35757,7610.953216374269,0.00013138186431504116,0.00017517581908672156
MTBLS1301,Untargeted metabolomics workshop report: quality control considerations from sample preparation to data analysis,"<p>The Metabolomics workshop on experimental and data analysis training for untargeted metabolomics was hosted by the Proteomics Society of India in December 2019. The Workshop included six tutorial lectures and hands-on data analysis training sessions presented by seven speakers. The tutorials and hands-on data analysis sessions focused on workflows for liquid chromatography-mass spectrometry (LC-MS) based on untargeted metabolomics. We review here three main topics from the workshop which were uniquely identified as bottlenecks for new researchers: a) experimental design, b) quality controls during sample preparation and instrumental analysis and c) data quality evaluation. Our objective here is to present common challenges faced by novice researchers and present possible guidelines and resources to address them. We provide resources and good practices for researchers who are at the initial stage of setting up metabolomics workflows in their labs.</p><p><br></p><p>Complete detailed metabolomics/lipidomics protocols are available online at <a href='https://www.embl.de/mcf/metabolomics-core-facility/protocols/index.html' rel='noopener noreferrer' target='_blank'>EMBL-MCF protocol</a> including <a href='https://www.embl.de/mcf/metabolomics-core-facility/video-tutorials/index.html' rel='noopener noreferrer' target='_blank'>video tutorials</a>.</p>",m_MTBLS1301_LC-MS_negative_hilic_metabolite_profiling_v2_maf,polyunsaturated fatty acid,CHEBI:26208,826.3320634920635,0.0012094798727939388,0.0013822627117645015
